Profile steps 100-102, LUMEN_PREFER_HIPBLASLT=1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                QuantizedLinearFunction         1.55%     191.322ms         4.47%     551.812ms     906.095us     230.751ms         1.84%     312.452ms     513.057us           609  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     230.462ms         1.84%     230.462ms     474.202us           486  
                        FP8StoredLinearFunctionBackward         1.15%     142.480ms         6.64%     820.256ms     854.434us     213.385ms         1.70%        3.487s       3.632ms           960  
                         _PatchedSwiGLUFunctionBackward         0.10%      11.942ms         0.13%      16.113ms      67.139us     204.233ms         1.63%     204.233ms     850.971us           240  
                                     _swiglu_bwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     204.233ms         1.63%     204.233ms     850.971us           240  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     174.155ms         1.39%     174.155ms     111.210us          1566  
                                            aten::copy_         0.37%      46.260ms         3.00%     370.522ms      18.416us     165.987ms         1.33%     165.987ms       8.250us         20120  
                                       _amax_abs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     161.039ms         1.29%     161.039ms      96.373us          1671  
                                     _swiglu_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     141.955ms         1.13%     141.955ms     468.497us           303  
                                  _FusedDropoutScaleAdd         0.29%      36.167ms         0.47%      58.192ms      96.027us     119.065ms         0.95%     122.997ms     202.965us           606  
                                 _fused_lora_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     119.065ms         0.95%     119.065ms     196.478us           606  
         _fused_silu_mul_fp8_dynamic_quant_apply_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     114.233ms         0.91%     114.233ms     377.005us           303  
                        _FusedRMSNormFP8QuantV2Backward         0.63%      78.234ms         6.10%     753.751ms       1.570ms     110.866ms         0.89%     126.490ms     263.520us           480  
                                             aten::add_         0.09%      10.959ms         0.16%      19.539ms      12.017us     110.206ms         0.88%     110.206ms      67.778us          1626  
                        QuantizedLinearFunctionBackward         0.83%     103.021ms         1.71%     211.555ms     438.002us     109.054ms         0.87%     199.216ms     412.455us           483  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     103.950ms         0.83%     103.950ms       6.226us         16696  
                                              aten::add         0.08%       9.313ms         1.80%     222.348ms     242.474us     100.522ms         0.80%     100.522ms     109.620us           917  
                          _FusedDropoutScaleAddBackward         0.18%      22.356ms         0.22%      27.531ms      57.356us      98.046ms         0.78%      98.046ms     204.263us           480  
                                 _fused_lora_bwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      98.046ms         0.78%      98.046ms     204.263us           480  
                                _FusedRMSNormFP8QuantV2         0.42%      51.596ms         0.66%      81.422ms     134.359us      86.756ms         0.69%      94.627ms     156.151us           606  
                    _rmsnorm_quant_amax_fp8_bf16_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      86.756ms         0.69%      86.756ms     143.162us           606  
                                               aten::mm         0.59%      72.950ms         1.57%     194.614ms     124.274us      85.489ms         0.68%      85.489ms      54.591us          1566  
          _fused_silu_mul_fp8_dynamic_quant_amax_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      81.743ms         0.65%      81.743ms     269.777us           303  
                                            aten::fill_         0.19%      23.659ms         2.28%     281.174ms      36.370us      75.333ms         0.60%      75.333ms       9.744us          7731  
                                    _rmsnorm_bwd_triton         0.00%       0.000us         0.00%       0.000us       0.000us      68.871ms         0.55%      68.871ms     143.482us           480  
             aiter::fmha_bwd_hd128_dq_convert_bf16_rtna         0.00%       0.000us         0.00%       0.000us       0.000us      67.041ms         0.54%      67.041ms     279.339us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.993ms         0.46%      56.993ms       8.136us          7005  
                        aiter::dynamic_per_tensor_quant         0.03%       3.922ms         0.07%       8.884ms      29.321us      56.461ms         0.45%      56.461ms     186.339us           303  
                                      FusedRoPEFuncApex         0.05%       5.967ms         0.09%      11.405ms      18.820us      46.732ms         0.37%      46.732ms      77.116us           606  
void (anonymous namespace)::fused_rope_forward<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      46.732ms         0.37%      46.732ms      77.116us           606  
                         aiter::fmha_bwd_hd128_odo_bf16         0.00%       0.000us         0.00%       0.000us       0.000us      43.124ms         0.34%      43.124ms     179.685us           240  
                              FusedRoPEFuncApexBackward         0.03%       3.312ms         0.06%       7.271ms      15.149us      41.626ms         0.33%      41.626ms      86.720us           480  
void (anonymous namespace)::fused_rope_backward<c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      41.626ms         0.33%      41.626ms      86.720us           480  
                                              aten::cat         0.02%       2.731ms        10.04%        1.241s       4.983ms      39.066ms         0.31%      39.066ms     156.893us           249  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      39.001ms         0.31%      39.001ms     162.505us           240  
                                       _rms_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      37.806ms         0.30%      37.806ms      78.762us           480  
void at::native::vectorized_templated_elementwise_ke...         0.00%       0.000us         0.00%       0.000us       0.000us      36.549ms         0.29%      36.549ms      38.072us           960  
    _ZN5aiter20data_to_scale_kernelIDF16bDB8_EEvPfPKT_i         0.00%       0.000us         0.00%       0.000us       0.000us      35.392ms         0.28%      35.392ms     116.804us           303  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      33.253ms         0.27%      33.253ms     109.746us           303  
Cijk_Alik_Bljk_F8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs_M...         0.00%       0.000us         0.00%       0.000us       0.000us      31.924ms         0.26%      31.924ms     105.360us           303  
Cijk_Ailk_Bljk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us      27.850ms         0.22%      27.850ms     116.044us           240  
                                 hipPointerGetAttribute         0.13%      15.979ms         0.13%      15.979ms       0.433us      27.083ms         0.22%      27.083ms       0.733us         36924  
                                              aten::sum         0.03%       3.713ms         0.06%       6.993ms      14.213us      25.924ms         0.21%      25.924ms      52.691us           492  
                                        hipEventDestroy         0.01%     621.801us         0.01%     621.801us       0.402us      25.349ms         0.20%      25.349ms      16.386us          1547  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      24.964ms         0.20%      24.964ms      52.008us           480  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      22.466ms         0.18%      22.466ms      10.258us          2190  
                                  _compute_scale_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.381ms         0.15%      19.381ms       5.932us          3267  
_ZN5aiter19scaled_quant_kernelIDF16bDB8_EEvPT0_PKT_P...         0.00%       0.000us         0.00%       0.000us       0.000us      19.126ms         0.15%      19.126ms      63.123us           303  
Cijk_Alik_Bljk_BBS_BH_UserArgs_MT256x80x16_MI16x16x1...         0.00%       0.000us         0.00%       0.000us       0.000us      18.205ms         0.15%      18.205ms      60.082us           303  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x32...         0.00%       0.000us         0.00%       0.000us       0.000us      17.096ms         0.14%      17.096ms      56.423us           303  
Cijk_Ailk_Bjlk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us      14.921ms         0.12%      14.921ms       4.974ms             3  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x16...         0.00%       0.000us         0.00%       0.000us       0.000us      14.102ms         0.11%      14.102ms      58.760us           240  
Cijk_Ailk_Bljk_BBS_BH_MT256x128x16_MI32x32x8x1_SN_1L...         0.00%       0.000us         0.00%       0.000us       0.000us      13.300ms         0.11%      13.300ms      55.416us           240  
Cijk_Alik_Bljk_F8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs_M...         0.00%       0.000us         0.00%       0.000us       0.000us      12.083ms         0.10%      12.083ms       4.028ms             3  
Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16...         0.00%       0.000us         0.00%       0.000us       0.000us      12.082ms         0.10%      12.082ms      50.344us           240  
void at::native::vectorized_elementwise_kernel<16, a...         0.00%       0.000us         0.00%       0.000us       0.000us       9.629ms         0.08%       9.629ms      20.060us           480  
                                  hipModuleLaunchKernel        12.91%        1.595s        12.91%        1.595s     123.585us       9.549ms         0.08%       9.549ms       0.740us         12903  
Cijk_Ailk_Bjlk_BBS_BH_MT16x128x32_MI16x16x16x1_SN_1L...         0.00%       0.000us         0.00%       0.000us       0.000us       8.885ms         0.07%       8.885ms      37.022us           240  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.690ms         0.07%       8.690ms      36.208us           240  
                                        hipLaunchKernel        14.21%        1.756s        14.21%        1.756s     100.741us       8.351ms         0.07%       8.351ms       0.479us         17426  
Cijk_Ailk_Bjlk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us       8.002ms         0.06%       8.002ms      33.344us           240  
Cijk_Alik_Bljk_F8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs_M...         0.00%       0.000us         0.00%       0.000us       0.000us       7.880ms         0.06%       7.880ms      26.006us           303  
Cijk_Ailk_Bljk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us       7.235ms         0.06%       7.235ms      30.145us           240  
                                              aten::div         0.00%     528.042us         0.01%     677.079us      45.139us       6.784ms         0.05%       6.784ms     452.292us            15  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.741ms         0.05%       6.741ms       1.124ms             6  
Cijk_Ailk_Bjlk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us       6.572ms         0.05%       6.572ms      27.384us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.155ms         0.05%       6.155ms       6.352us           969  
                          _rmsnorm_bwd_dg_reduce_triton         0.00%       0.000us         0.00%       0.000us       0.000us       4.189ms         0.03%       4.189ms       8.728us           480  
                                          aten::random_         0.05%       5.832ms         0.09%      10.884ms      17.961us       3.931ms         0.03%       3.931ms       6.487us           606  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       3.931ms         0.03%       3.931ms       6.487us           606  
                               nccl:allreduce_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       3.397ms         0.03%       3.397ms     566.165us             6  
                                             aten::mul_         0.00%     119.867us         0.00%     186.760us      12.451us       2.740ms         0.02%       2.740ms     182.650us            15  
                                             aten::div_         0.00%      99.767us         0.00%     191.785us      15.982us       2.734ms         0.02%       2.734ms     227.851us            12  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.685ms         0.02%       2.685ms     894.916us             3  
                                             aten::sub_         0.00%      79.381us         0.00%     130.683us      21.780us       2.671ms         0.02%       2.671ms     445.192us             6  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.654ms         0.02%       2.654ms     884.719us             3  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.463ms         0.02%       2.463ms     410.419us             6  
              vllm::initializeScale(float*, int, float)         0.00%       0.000us         0.00%       0.000us       0.000us       1.943ms         0.02%       1.943ms       6.413us           303  
                                        Cijk_B_PostGSU8         0.00%       0.000us         0.00%       0.000us       0.000us       1.819ms         0.01%       1.819ms       7.577us           240  
                                              aten::exp         0.00%      21.015us         0.00%      44.240us      14.747us       1.800ms         0.01%       1.800ms     600.036us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.800ms         0.01%       1.800ms     600.036us             3  
                        apex::fused_rms_norm_affine_bwd         0.00%     341.198us         0.00%     483.063us     161.021us       1.607ms         0.01%       1.607ms     535.619us             3  
Cijk_SB_BiasS_HAS_ScaleAB_ScaleAlphaVec_PostGSU8_VW4...         0.00%       0.000us         0.00%       0.000us       0.000us       1.387ms         0.01%       1.387ms       5.779us           240  
                          Optimizer.step#FusedAdam.step         0.00%       0.000us         0.00%       0.000us       0.000us       1.322ms         0.01%       1.322ms     440.628us             3  
void multi_tensor_apply_kernel<TensorListMetadata<4>...         0.00%       0.000us         0.00%       0.000us       0.000us       1.322ms         0.01%       1.322ms      48.958us            27  
void cuComputePartGradGammaBeta<c10::BFloat16, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.045ms         0.01%       1.045ms     348.389us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     959.920us         0.01%     959.920us      79.993us            12  
                                              aten::max         0.00%      80.082us         0.00%     109.769us      36.590us     946.017us         0.01%     946.017us     315.339us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     946.017us         0.01%     946.017us     315.339us             3  
                                     CheckpointFunction         0.70%      87.056ms         2.48%     306.321ms       4.862ms     732.878us         0.01%        1.250s      19.835ms            63  
                             CheckpointFunctionBackward         0.72%      88.639ms        44.75%        5.529s      87.765ms     726.427us         0.01%        2.939s      46.651ms            63  
mscclKernel_Sum_float_Simple_false(ncclDevComm*, msc...         0.00%       0.000us         0.00%       0.000us       0.000us     640.956us         0.01%     640.956us     213.652us             3  
                               aten::linalg_vector_norm         0.00%     138.871us         0.00%     289.133us      48.189us     619.818us         0.00%     619.818us     103.303us             6  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     588.632us         0.00%     588.632us      98.105us             6  
                                             aten::tril         0.00%      32.588us         0.00%      54.828us      18.276us     564.781us         0.00%     564.781us     188.260us             3  
void at::native::triu_tril_kernel<float, int, false,...         0.00%       0.000us         0.00%       0.000us       0.000us     564.781us         0.00%     564.781us     188.260us             3  
void cuComputeGradInput<c10::BFloat16, float, c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     543.611us         0.00%     543.611us     181.204us             3  
                                          aten::nonzero         0.00%     357.688us         0.01%       1.526ms      63.591us     534.775us         0.00%     534.775us      22.282us            24  
                           Memcpy HtoD (Host -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     447.328us         0.00%     447.328us      19.449us            23  
GeneratedBackwardFor_apex_fused_rms_norm_affine_fwd_...         0.00%     355.268us         0.00%     410.954us     136.985us     380.313us         0.00%     380.313us     126.771us             3  
void cuApplyRMSNorm<c10::BFloat16, float, c10::BFloa...         0.00%       0.000us         0.00%       0.000us       0.000us     380.313us         0.00%     380.313us     126.771us             3  
void multi_tensor_apply_kernel<TensorListMetadata<1>...         0.00%       0.000us         0.00%       0.000us       0.000us     333.759us         0.00%     333.759us       6.544us            51  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     297.119us         0.00%     297.119us      49.520us             6  
                                               aten::lt         0.00%      94.889us         0.00%     137.482us      22.914us     227.758us         0.00%     227.758us      37.960us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     210.522us         0.00%     210.522us      70.174us             3  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us     207.237us         0.00%     207.237us     207.237us             1  
                              aten::_local_scalar_dense         0.01%     650.182us        29.98%        3.705s      46.900ms     161.940us         0.00%     161.940us       2.050us            79  
                                nccl:all_reduce_barrier         0.00%       0.000us         0.00%       0.000us       0.000us     150.143us         0.00%     150.143us      75.071us             2  
                                           aten::gather         0.00%      35.384us         0.00%      68.787us      22.929us     144.810us         0.00%     144.810us      48.270us             3  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     144.810us         0.00%     144.810us      48.270us             3  
void rocprim::ROCPRIM_400100_NS::detail::trampoline_...         0.00%       0.000us         0.00%       0.000us       0.000us     129.034us         0.00%     129.034us       5.376us            24  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     103.569us         0.00%     103.569us       3.452us            30  
                                            aten::index         0.00%     358.860us         0.02%       2.039ms      67.968us      84.188us         0.00%     618.963us      20.632us            30  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      84.188us         0.00%      84.188us      14.031us             6  
                                              aten::mul         0.00%     428.206us         0.01%     676.394us      32.209us      82.178us         0.00%      82.178us       3.913us            21  
                                               aten::gt         0.00%     179.865us         0.00%     282.992us       6.738us      80.801us         0.00%      80.801us       1.924us            42  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      80.801us         0.00%      80.801us       3.367us            24  
void rocprim::ROCPRIM_400100_NS::detail::trampoline_...         0.00%       0.000us         0.00%       0.000us       0.000us      80.044us         0.00%      80.044us       3.335us            24  
void rocprim::ROCPRIM_400100_NS::detail::init_lookba...         0.00%       0.000us         0.00%       0.000us       0.000us      75.069us         0.00%      75.069us       3.128us            24  
void rocprim::ROCPRIM_400100_NS::detail::trampoline_...         0.00%       0.000us         0.00%       0.000us       0.000us      74.428us         0.00%      74.428us       3.101us            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      62.294us         0.00%      62.294us       5.191us            12  
                                              aten::sub         0.00%     109.631us         0.00%     191.217us      21.246us      53.956us         0.00%      53.956us       5.995us             9  
                                           aten::arange         0.00%     127.671us         0.00%     520.079us      28.893us      47.940us         0.00%      95.880us       5.327us            18  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      47.940us         0.00%      47.940us       5.327us             9  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.462us         0.00%      47.462us       5.274us             9  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.568us         0.00%      41.568us       5.196us             8  
                                               aten::ne         0.00%      54.583us         0.00%      98.654us      16.442us      37.962us         0.00%      37.962us       6.327us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.962us         0.00%      37.962us       6.327us             6  
                                 aten::_index_put_impl_         0.00%      88.365us         0.00%     228.570us      25.397us      37.161us         0.00%      71.875us       7.986us             9  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.161us         0.00%      37.161us      12.387us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      36.438us         0.00%      36.438us       6.073us             6  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      36.317us         0.00%      36.317us       6.053us             6  
                                              aten::abs         0.00%      99.098us         0.01%       1.489ms     124.044us      35.555us         0.00%      71.110us       5.926us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.555us         0.00%      35.555us       5.926us             6  
                                     aten::masked_fill_         0.00%      30.448us         0.00%      74.957us      12.493us      34.714us         0.00%      34.714us       5.786us             6  
                                               aten::eq         0.00%      74.992us         0.00%     113.335us      18.889us      25.654us         0.00%      25.654us       4.276us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.654us         0.00%      25.654us       4.276us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.525us         0.00%      21.525us       3.587us             6  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      19.481us         0.00%      19.481us       6.494us             3  
                                               aten::ge         0.00%      22.247us         0.00%      37.845us      12.615us      19.202us         0.00%      19.202us       6.401us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.921us         0.00%      18.921us       6.307us             3  
                                            aten::clamp         0.00%      27.749us         0.00%      54.053us      18.018us      18.399us         0.00%      18.399us       6.133us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.399us         0.00%      18.399us       6.133us             3  
                                       aten::bitwise_or         0.00%      28.887us         0.00%      51.068us      17.023us      18.318us         0.00%      18.318us       6.106us             3  
void at::native::vectorized_elementwise_kernel<16, a...         0.00%       0.000us         0.00%       0.000us       0.000us      18.318us         0.00%      18.318us       6.106us             3  
void cuComputeGradGammaBeta<float, c10::BFloat16>(fl...         0.00%       0.000us         0.00%       0.000us       0.000us      18.077us         0.00%      18.077us       6.026us             3  
                                              aten::log         0.00%      24.088us         0.00%      44.837us      14.946us      17.677us         0.00%      17.677us       5.892us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.677us         0.00%      17.677us       5.892us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.598us         0.00%      17.598us       5.866us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.398us         0.00%      17.398us       5.799us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.316us         0.00%      17.316us       5.772us             3  
                                             aten::mean         0.00%      48.267us         0.00%      76.604us      25.535us      17.237us         0.00%      17.237us       5.746us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      17.237us         0.00%      17.237us       5.746us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.875us         0.00%      16.875us       5.625us             3  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      15.793us         0.00%      15.793us       5.264us             3  
     cleanup(float*, float*, float*, float*, bool, int)         0.00%       0.000us         0.00%       0.000us       0.000us      12.666us         0.00%      12.666us       4.222us             3  
                           Memcpy DtoH (Device -> Host)         0.00%       0.000us         0.00%       0.000us       0.000us      10.943us         0.00%      10.943us       3.648us             3  
                                              aten::pow         0.00%      44.443us         0.00%      71.890us      23.963us       9.338us         0.00%       9.338us       3.113us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.338us         0.00%       9.338us       3.113us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.058us         0.00%       9.058us       3.019us             3  
                                     hipStreamWaitEvent         0.07%       8.911ms         0.07%       8.911ms       8.561us       6.494us         0.00%       6.494us       0.006us          1041  
                                   hipStreamIsCapturing         0.02%       2.427ms         0.02%       2.427ms       1.148us       0.000us         0.00%       0.000us       0.000us          2114  
                                            aten::zero_         0.09%      11.599ms         2.37%     292.677ms      37.902us       0.000us         0.00%      75.152ms       9.732us          7722  
                                            aten::zeros         0.03%       3.738ms         0.25%      31.331ms      12.330us       0.000us         0.00%      34.894ms      13.733us          2541  
                                            aten::empty         0.37%      46.070ms         0.37%      46.070ms       2.722us       0.000us         0.00%       0.000us       0.000us         16927  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.00%     370.351us         0.00%     370.351us     123.450us       0.000us         0.00%       0.000us       0.000us             3  
                                               aten::to         0.04%       5.224ms         0.31%      37.959ms       3.704us       0.000us         0.00%      26.294ms       2.566us         10247  
                                         aten::_to_copy         0.05%       6.547ms         0.26%      32.734ms      14.712us       0.000us         0.00%      26.294ms      11.817us          2225  
                                    aten::empty_strided         0.47%      57.524ms         0.47%      57.524ms       2.299us       0.000us         0.00%       0.000us       0.000us         25016  
                                    hipMemcpyWithStream        29.99%        3.706s        29.99%        3.706s      44.120ms       0.000us         0.00%       0.000us       0.000us            84  
                                       aten::lift_fresh         0.00%       9.810us         0.00%       9.810us       0.377us       0.000us         0.00%       0.000us       0.000us            26  
                                          aten::detach_         0.00%      26.694us         0.00%      46.325us       2.014us       0.000us         0.00%       0.000us       0.000us            23  
                                                detach_         0.00%      19.631us         0.00%      19.631us       0.854us       0.000us         0.00%       0.000us       0.000us            23  
                                       c10d::broadcast_         0.00%     232.102us         0.00%     471.389us      78.565us       0.000us         0.00%       0.000us       0.000us             6  
                                         nccl:broadcast         0.00%       0.000us             0     160.214us      26.702us       0.000us         0.00%       0.000us       0.000us             6  
