Qwen3 FP8 blockwise2d profile, steps 12-13

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      69.099ms         2.59%      69.099ms     959.715us            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      61.771ms         2.31%      61.771ms     417.372us           148  
                                             aten::div_         0.05%     978.701us         0.08%       1.561ms      10.843us      61.748ms         2.31%      61.748ms     428.806us           144  
                                        hipEventDestroy         0.04%     730.849us         0.04%     730.849us       0.437us      61.746ms         2.31%      61.746ms      36.885us          1674  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      55.581ms         2.08%      55.581ms      32.202us          1726  
                                             aten::add_         0.34%       6.256ms         3.06%      56.435ms      32.697us      54.754ms         2.05%      54.754ms      31.723us          1726  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      48.567ms         1.82%      48.567ms      30.622us          1586  
              lumen::quant_fp8_blockwise_dual_axis_impl         3.86%      71.160ms         5.30%      97.887ms     193.453us      40.641ms         1.52%      40.641ms      80.319us           506  
                quant_fp8_blockwise_for_act_grad_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      40.641ms         1.52%      40.641ms      80.319us           506  
                                              aten::sum         0.31%       5.667ms         0.52%       9.639ms      16.619us      39.102ms         1.46%      39.102ms      67.417us           580  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      38.460ms         1.44%      38.460ms      38.155us          1008  
Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT512x1...         0.00%       0.000us         0.00%       0.000us       0.000us      31.066ms         1.16%      31.066ms      71.913us           432  
                                   aten::native_dropout         0.32%       5.864ms         0.65%      11.944ms      23.698us      28.700ms         1.07%      28.700ms      56.944us           504  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      28.700ms         1.07%      28.700ms      56.944us           504  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      27.983ms         1.05%      27.983ms      97.162us           288  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      27.684ms         1.04%      27.684ms      38.237us           724  
                                            aten::fill_         0.11%       2.060ms         0.31%       5.640ms       5.529us      23.402ms         0.88%      23.402ms      22.943us          1020  
                                              aten::add         0.37%       6.790ms         0.60%      11.019ms      10.146us      23.200ms         0.87%      23.200ms      21.363us          1086  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.913ms         0.86%      22.913ms      28.570us           802  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.245ms         0.83%      22.245ms      61.791us           360  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us      21.975ms         0.82%      21.975ms     152.602us           144  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.424ms         0.80%      21.424ms      22.647us           946  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.846s
Self CUDA time total: 2.671s
