Qwen3 FP8 blockwise2d profile, steps 12-15

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         aten::_flash_attention_forward         0.05%       5.644ms         0.14%      17.520ms      60.833us     255.255ms         2.00%     257.117ms     892.766us           288  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     255.255ms         2.00%     255.255ms     886.301us           288  
                                               aten::mm         2.75%     335.787ms         3.30%     402.661ms      49.933us     240.567ms         1.89%     240.795ms      29.860us          8064  
                                          bwd_kernel_dq         0.00%       0.000us         0.00%       0.000us       0.000us     201.148ms         1.58%     201.148ms       1.397ms           144  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us     162.663ms         1.28%     162.663ms     564.802us           288  
                                              aten::cat         0.07%       8.820ms         0.12%      14.131ms      19.305us     159.332ms         1.25%     159.332ms     217.667us           732  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     136.626ms         1.07%     136.626ms      31.568us          4328  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     128.899ms         1.01%     128.899ms     127.370us          1012  
                  aiter::dynamic_per_token_scaled_quant         0.32%      38.632ms         0.52%      63.832ms      15.800us     128.837ms         1.01%     128.837ms      31.890us          4040  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us     128.600ms         1.01%     128.600ms      32.150ms             4  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     121.780ms         0.96%     121.780ms     845.696us           144  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     103.765ms         0.81%     103.765ms      24.020us          4320  
                                   aten::native_dropout         0.33%      40.659ms         0.58%      70.985ms      35.211us     103.369ms         0.81%     103.416ms      51.297us          2016  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us     103.369ms         0.81%     103.369ms      51.274us          2016  
                                             aten::add_         0.11%      13.627ms         0.22%      26.349ms       7.615us     100.847ms         0.79%     100.847ms      29.147us          3460  
_ZN5aiter37dynamic_per_token_scaled_quant_kernelItDB...         0.00%       0.000us         0.00%       0.000us       0.000us      90.560ms         0.71%      90.560ms      44.832us          2020  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      82.770ms         0.65%      82.770ms      40.814us          2028  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us      81.942ms         0.64%      81.942ms      20.486ms             4  
                                              aten::add         0.24%      29.015ms         0.39%      47.445ms      11.732us      75.839ms         0.60%      77.484ms      19.160us          4044  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      74.498ms         0.58%      74.498ms     251.682us           296  
                                             aten::div_         0.02%       2.075ms         0.03%       3.345ms      11.614us      74.452ms         0.58%      74.452ms     258.513us           288  
                                              aten::sum         0.09%      11.148ms         0.16%      19.316ms      16.594us      72.242ms         0.57%      72.242ms      62.064us          1164  
                                        hipEventDestroy         0.02%       2.009ms         0.02%       2.009ms       0.419us      71.913ms         0.56%      71.913ms      15.007us          4792  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.216s
Self CUDA time total: 12.741s
