Qwen3 FP8 blockwise2d profile, steps 12-13

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      75.012ms         1.73%      75.012ms       1.042ms            72  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      67.148ms         1.55%      67.148ms     932.608us            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.216ms         1.51%      65.216ms     440.649us           148  
                                             aten::div_         0.03%     991.216us         0.05%       1.692ms      11.753us      65.193ms         1.51%      65.193ms     452.731us           144  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us      64.273ms         1.49%      64.273ms      32.136ms             2  
                                        hipEventDestroy         0.03%     820.398us         0.03%     820.398us       0.470us      63.478ms         1.47%      63.478ms      36.356us          1746  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      46.611ms         1.08%      46.611ms      29.389us          1586  
                                             aten::add_         0.21%       6.527ms         1.34%      41.607ms      24.106us      46.065ms         1.06%      46.065ms      26.689us          1726  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.057ms         1.04%      45.057ms      26.105us          1726  
                                              aten::sum         0.19%       5.882ms        11.83%     366.358ms     631.653us      38.285ms         0.88%      38.285ms      66.009us           580  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.990ms         0.81%      34.990ms      34.712us          1008  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      27.162ms         0.63%      27.162ms      94.312us           288  
              lumen::quant_fp8_blockwise_dual_axis_impl         2.21%      68.480ms         2.54%      78.751ms     155.635us      27.072ms         0.63%      27.072ms      53.503us           506  
                quant_fp8_blockwise_for_act_grad_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.072ms         0.63%      27.072ms      53.503us           506  
                                   aten::native_dropout         0.19%       5.853ms         0.41%      12.749ms      25.295us      26.613ms         0.61%      26.613ms      52.804us           504  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      26.613ms         0.61%      26.613ms      52.804us           504  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      26.479ms         0.61%      26.479ms      36.573us           724  
                                            aten::fill_         0.07%       2.097ms         0.20%       6.204ms       6.082us      23.411ms         0.54%      23.411ms      22.952us          1020  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.939ms         0.53%      22.939ms      28.602us           802  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.396ms         0.49%      21.396ms      59.433us           360  
                                              aten::add         0.23%       7.212ms         0.37%      11.602ms      10.683us      20.617ms         0.48%      20.617ms      18.984us          1086  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us      18.463ms         0.43%      18.463ms     128.215us           144  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.096s
Self CUDA time total: 4.328s
