Qwen3 FP8 blockwise2d profile, steps 12-14

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         2.72%     249.958ms         3.24%     298.598ms      49.371us     196.765ms         1.93%     196.781ms      32.536us          6048  
                                          bwd_kernel_dq         0.00%       0.000us         0.00%       0.000us       0.000us     150.186ms         1.47%     150.186ms       1.391ms           108  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us     122.016ms         1.19%     122.016ms     564.888us           216  
                                              aten::cat         0.07%       6.622ms         0.11%      10.567ms      19.247us     121.107ms         1.19%     121.107ms     220.596us           549  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     104.127ms         1.02%     104.127ms      32.079us          3246  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us      96.355ms         0.94%      96.355ms      32.118ms             3  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      96.159ms         0.94%      96.159ms     126.691us           759  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      92.876ms         0.91%      92.876ms     859.960us           108  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      78.448ms         0.77%      78.448ms      24.212us          3240  
                                   aten::native_dropout         0.30%      27.282ms         0.53%      49.008ms      32.413us      77.866ms         0.76%      77.866ms      51.498us          1512  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      77.866ms         0.76%      77.866ms      51.498us          1512  
                                             aten::add_         0.12%      11.040ms         0.21%      19.374ms       7.466us      75.925ms         0.74%      75.925ms      29.258us          2595  
                                        hipEventDestroy         0.02%       1.503ms         0.02%       1.503ms       0.418us      75.269ms         0.74%      75.269ms      20.943us          3594  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      65.045ms         0.64%      65.045ms      46.230us          1407  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      62.437ms         0.61%      62.437ms      41.050us          1521  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us      61.517ms         0.60%      61.517ms      20.506ms             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      57.262ms         0.56%      57.262ms     257.939us           222  
                                             aten::div_         0.02%       1.502ms         0.03%       2.351ms      10.886us      57.228ms         0.56%      57.228ms     264.946us           216  
                                              aten::add         0.22%      20.340ms         0.37%      33.661ms      11.098us      57.082ms         0.56%      57.143ms      18.840us          3033  
                                              aten::sum         0.09%       8.665ms         0.16%      14.456ms      16.559us      54.241ms         0.53%      54.241ms      62.131us           873  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.112ms         0.44%      45.112ms      17.264us          2613  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us      44.166ms         0.43%      44.166ms     102.236us           432  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.202s
Self CUDA time total: 10.220s
