Qwen3 FP8 blockwise2d profile, steps 12-13

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      75.532ms         1.85%      75.532ms       1.049ms            72  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      66.314ms         1.62%      66.314ms     921.034us            72  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.427ms         1.58%      64.427ms     435.318us           148  
                                             aten::div_         0.03%     953.054us         0.05%       1.519ms      10.547us      64.404ms         1.58%      64.404ms     447.249us           144  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us      64.303ms         1.57%      64.303ms      32.151ms             2  
                     hipThreadExchangeStreamCaptureMode         0.01%     155.319us         0.01%     155.589us       0.170us      46.822ms         1.15%      46.822ms      51.227us           914  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      46.792ms         1.14%      46.792ms      29.503us          1586  
                                             aten::add_         0.22%       6.576ms         1.51%      45.321ms      26.258us      41.428ms         1.01%      41.428ms      24.002us          1726  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.438ms         0.99%      40.438ms      23.429us          1726  
                                              aten::sum         0.18%       5.506ms        12.07%     362.063ms     624.247us      37.952ms         0.93%      37.952ms      65.434us           580  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.522ms         0.77%      31.522ms      31.272us          1008  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      26.892ms         0.66%      26.892ms      93.376us           288  
                                   aten::native_dropout         0.18%       5.526ms         0.39%      11.656ms      23.127us      26.640ms         0.65%      26.640ms      52.856us           504  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      26.640ms         0.65%      26.640ms      52.856us           504  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      26.456ms         0.65%      26.456ms      36.542us           724  
              lumen::quant_fp8_blockwise_dual_axis_impl         2.25%      67.555ms         2.58%      77.350ms     152.866us      26.319ms         0.64%      26.319ms      52.013us           506  
                quant_fp8_blockwise_for_act_grad_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      26.319ms         0.64%      26.319ms      52.013us           506  
                                            aten::fill_         0.07%       2.083ms         0.19%       5.568ms       5.459us      23.318ms         0.57%      23.318ms      22.860us          1020  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.839ms         0.56%      22.839ms      28.477us           802  
                                              aten::add         0.22%       6.528ms         0.35%      10.604ms       9.765us      20.741ms         0.51%      20.741ms      19.099us          1086  
Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x1...         0.00%       0.000us         0.00%       0.000us       0.000us      18.373ms         0.45%      18.373ms     255.176us            72  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us      17.612ms         0.43%      17.612ms     122.309us           144  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.000s
Self CUDA time total: 4.088s
