Qwen3 FP8 blockwise2d profile, steps 12-15

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         aten::_flash_attention_forward         0.05%       5.739ms         0.15%      17.530ms      60.868us     244.584ms         2.04%     246.421ms     855.628us           288  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     244.584ms         2.04%     244.584ms     849.249us           288  
                                               aten::mm         2.84%     330.270ms         3.38%     393.794ms      48.834us     235.576ms         1.97%     235.632ms      29.220us          8064  
                                          bwd_kernel_dq         0.00%       0.000us         0.00%       0.000us       0.000us     201.232ms         1.68%     201.232ms       1.397ms           144  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us     162.643ms         1.36%     162.643ms     564.733us           288  
                                              aten::cat         0.08%       8.802ms         0.12%      13.857ms      18.931us     160.450ms         1.34%     160.450ms     219.194us           732  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     136.266ms         1.14%     136.266ms      31.485us          4328  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     128.860ms         1.08%     128.860ms     127.332us          1012  
                  aiter::dynamic_per_token_scaled_quant         0.32%      37.626ms         0.53%      61.815ms      15.301us     128.595ms         1.07%     128.595ms      31.831us          4040  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us     128.493ms         1.07%     128.493ms      32.123ms             4  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     123.006ms         1.03%     123.006ms     854.207us           144  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     105.525ms         0.88%     105.525ms      24.427us          4320  
                                             aten::add_         0.12%      13.554ms         0.21%      24.802ms       7.168us     104.745ms         0.88%     104.745ms      30.273us          3460  
                                   aten::native_dropout         0.34%      39.079ms         0.59%      68.202ms      33.830us     102.547ms         0.86%     102.547ms      50.867us          2016  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us     102.547ms         0.86%     102.547ms      50.867us          2016  
_ZN5aiter37dynamic_per_token_scaled_quant_kernelItDB...         0.00%       0.000us         0.00%       0.000us       0.000us      90.533ms         0.76%      90.533ms      44.818us          2020  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      82.644ms         0.69%      82.644ms      40.752us          2028  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us      81.938ms         0.68%      81.938ms      20.485ms             4  
                                              aten::add         0.24%      28.425ms         0.40%      45.960ms      11.365us      75.379ms         0.63%      75.379ms      18.640us          4044  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      75.072ms         0.63%      75.072ms     253.621us           296  
                                             aten::div_         0.02%       2.081ms         0.03%       3.254ms      11.297us      75.028ms         0.63%      75.028ms     260.515us           288  
                                              aten::sum         0.10%      11.077ms         0.16%      18.797ms      16.149us      72.193ms         0.60%      72.193ms      62.022us          1164  
                                        hipEventDestroy         0.02%       1.982ms         0.02%       1.982ms       0.414us      71.884ms         0.60%      71.884ms      15.001us          4792  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.635s
Self CUDA time total: 11.968s
